カットNo.	時間(秒)	画面（ビジュアル）	内容・動き	セリフ	SE/BGM	撮影内容	挿入イメージ
1	5	工藤あやかさん（30代前半、説得力のある雰囲気）が視聴者をまっすぐ見つめている。背景は清潔感のある部屋。画面上部に「ちょっと待って！」と大きなテロップ。	あやかさん、真剣な表情で語りかける。少し身を乗り出すような動き。	ちょっと待って！	緊張感を煽るBGM、ピタッと止まる効果音。	あやかさんのバストアップ。カメラ目線で強いメッセージ性を出す。	冒頭テロップ「ちょっと待って！」
2	4	毛穴パックやスクラブを使っている女性の手元の映像に大きく×印のテロップが重なる。	悩ましげに毛穴ケアをする女性のイメージ映像。	もし今あなたが、毛穴の黒ずみやザラつきに悩んで、毛穴パックとか、ゴシゴシ擦るスクラブを使っているなら…お願い、今すぐその手を止めて！	ブーッという不正解の効果音。緊迫したBGM。	匿名性のある女性が毛穴パックやスクラブを使っている手元や顔の一部を撮影。	毛穴パックやスクラブのイメージ映像、赤い×印のCGエフェクト、テロップ「STOP!!」
3	6	再びあやかさん。少し申し訳なさそうな、でも真剣な表情。「負のループ」という文字が渦を巻くようなアニメーション。	あやかさん、表情を少し和らげつつも、真剣に語り続ける。	ごめんね、いきなり強いこと言っちゃって。でも、これだけは伝えなきゃいけないの。良かれと思って続けているそのケア、実はあなたの毛穴悩みを、さらに深刻な”負のループ”に陥れているだけかもしれないって…。	BGMが少し落ち着くが、不安を煽るようなメロディは続く。	あやかさんのバストアップ。表情の機微を捉える。	「負のループ」のテキストアニメーション。
4	6	鏡の前で落ち込む過去のあやかさん（回想シーン）。ファンデーションが浮いた鼻のアップ。	鏡を見つめ、ため息をつく。	昔の私が、そうだったから。やってもやっても無くならない黒ずみ。ファンデーションで隠しても、夕方には無惨に浮き出てくる角栓…。	悲しいピアノのBGM。	少し暗めの照明で回想シーンを撮影。鏡越しの表情と、肌の悩みがわかるアップを撮る。	夕方、ファンデーションが浮いた鼻のアップ（再現映像）。
5	3	泣きそうになっている過去のあやかさんの表情のアップ。	目に涙を浮かべる。	「なんで私だけ？」って、鏡の前で泣きそうになった日なんて、数えきれないよ。	ピアノのBGMが続く。	感情が伝わる表情のアップ。	なし
6	6	現在のあやかさんに戻る。エステティシャンの友人との会話シーン（イメージ）。肌の断面図のイラストが出現。	衝撃の事実を知った、という表情。	でもある日、エステティシャンの友達から衝撃の事実を聞かされたの。「あやか、その毛穴悩みの本当の原因、表面の汚れじゃないよ。肌の奥で固く”フタ”をしちゃってる、”古い角質”が原因だよ」って。	ピコーン！という気づきの効果音。BGMが少し明るい方向へ転換し始める。	あやかさんのバストアップ。友人との会話はシルエットなどのイメージ映像で処理。	肌の断面図イラスト（「古い角質」がフタになっている様子がわかるもの）。
7	6	肌の断面図イラストがアップになり、「古い角質」が毛穴を塞ぎ、黒ずみになるプロセスをアニメーションで解説。	イラストのアニメーション。	そう。私たちの肌の上には、本来剥がれ落ちるはずだった角質が、まるで”頑固なフタ”みたいに居座ってるの。このフタが毛穴を塞いで、皮脂と混ざって酸化して、あの憎い黒ずみになってたの！	解説を助けるような軽快なBGMと効果音。	なし（編集で対応）	肌の断面図イラストのアニメーション（フタ→皮脂が溜まる→酸化して黒くなる）
8	4	高級な美容液が肌の”フタ”に弾かれて浸透しないイメージCG。	イラストのアニメーション。	しかも、このフタの上からどんなに高級な美容液を塗ったって、浸透するわけないよね？まさに、焼け石に水。	残念な効果音（ブブーなど）。	なし（編集で対応）	美容液が”角質のフタ”に弾かれるCG。
9	5	ハッとした表情のあやかさん。視聴者に問いかけるように。	カメラにぐっと近づく。	じゃあ、どうすればいいの？答えは、めちゃくちゃシンプル。この”角質のフタ”を、肌に負担をかけずに、優しく、でも根本から溶かしてあげること。	BGMが一旦静かになり、期待感を高める。	カメラを少しズームインさせ、あやかさんの表情を強調する。	なし
10	5	あやかさんが手元に「HerbLaPeel」を出す。雰囲気が一変し、希望に満ちた表情に。テロップ「もう、ゴシゴシ擦らない。新常識「溶かす」ピーリング」	商品をゆっくりとカメラに見せる。表情がパッと明るくなる。	それを実現するために、プロたちがたどり着いた答えが…これなの。「INSITU HerbLaPeel（ハーブラピール）」！	キラキラした効果音。希望に満ちた、壮大なBGMに切り替わる。	商品の物撮り。あやかさんが商品を手に持ち、自信に満ちた表情で紹介するカット。	商品パッケージのアップ。重要な情報を伝えるテロップ。
